Row Labels;7 Days to Die;AdVenture Capitalist;Age of Empires II HD Edition;APB Reloaded;ARK Survival Evolved;Arma 2 Operation Arrowhead;Arma 3;Assassin's Creed IV Black Flag;Baldur's Gate II Enhanced Edition;Battlefield Bad Company 2;BioShock Infinite;Borderlands;Borderlands 2;Call of Duty Black Ops;Call of Duty Black Ops - Multiplayer;Call of Duty Black Ops II - Multiplayer;Call of Duty Ghosts - Multiplayer;Call of Duty Modern Warfare 2;Call of Duty Modern Warfare 2 - Multiplayer;Call of Duty Modern Warfare 3;Call of Duty Modern Warfare 3 - Multiplayer;Chivalry Medieval Warfare;Clicker Heroes;Counter-Strike;Counter-Strike Condition Zero;Counter-Strike Global Offensive;Counter-Strike Source;Crusader Kings II;DARK SOULS II;Dark Souls Prepare to Die Edition;Day of Defeat Source;DayZ;DC Universe Online;Deus Ex Human Revolution;Don't Starve;Dota 2;Dungeon Defenders;Empire Total War;Euro Truck Simulator 2;Europa Universalis IV;Fallout 4;Fallout New Vegas;Far Cry 3;FINAL FANTASY XIV A Realm Reborn;Football Manager 2009;Football Manager 2010;Football Manager 2011;Football Manager 2012;Football Manager 2013;Football Manager 2014;Football Manager 2015;Garry's Mod;Grand Theft Auto IV;Grand Theft Auto V;H1Z1;Half-Life 2;Half-Life 2 Deathmatch;Just Cause 2;Kerbal Space Program;Killing Floor;Left 4 Dead;Left 4 Dead 2;Medieval II Total War;METAL GEAR SOLID V THE PHANTOM PAIN;Might & Magic Heroes VI;Mount & Blade Warband;Napoleon Total War;Neverwinter;Path of Exile;PAYDAY 2;PlanetSide 2;Portal 2;Rising Storm/Red Orchestra 2 Multiplayer;Robocraft;Rocket League;Rust;Saints Row The Third;Sid Meier's Civilization IV Beyond the Sword;Sid Meier's Civilization V;Space Engineers;Star Trek Online;Starbound;Stronghold Kingdoms;Team Fortress 2;Terraria;The Binding of Isaac;The Binding of Isaac Rebirth;The Elder Scrolls V Skyrim;The Witcher 3 Wild Hunt;Tom Clancy's Ghost Recon Phantoms - NA;Torchlight II;Total War ROME II - Emperor Edition;Total War SHOGUN 2;Trove;Unturned;War Thunder;Warframe;Warhammer 40,000 Dawn of War II;XCOM Enemy Unknown
7431946;;;;;;;;;;;;;148;;;;;;;;;;;;;17,8;0,8;;;;15,6;;;;;17,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,5;13,9;;;;;;;40;;;30;;16,1;;;;;;;5,2;;;;;;51;;
7440594;;;;;3,7;;;;;;;;40;;;;;;;1,7;;;;6,3;;46;7,1;;;;;;;91;;;;;;;;;31;30;;;;;;;;;1,5;;;3,9;;288;;;;;;;;;;;5;0,7;;;;;158;;;;;;;;;;;;;;;;13,8;;;;;;;;
7519923;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7527129;;;;;;;;;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7585698;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7736384;;;;;;;;;;;;;;;;;;;;;;;;478;;193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7757631;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7907686;;;0,7;;;;;;;0,8;;55;14,2;;;;;;;;;;;;;;;;;;1;;;;;0,6;;;5,5;;;;;;;;;;;;;;26;1,8;;;;;;;37;42;;;;;;;;;;;;;;;15;;175;;;;;2,6;;;;;;;;1,5;;;;;;;37
7923954;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7955670;;;;;;;;;;;;;;;;;;;;0,1;13,6;;;1359;25;297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;;;;;;;;1,9;;;0,2;;;;;2060;;;;;;;;;;;;;;;
8013465;;;;;;;;;;;;;;;;;;;;;;;;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8100868;;;;;;;;;;;;;;;;;;;;;;;;10,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8259307;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;0,5;;;;;;;1,3;;;;;;;;;;;1,6;;;;;1,9;;;;;;;;;;;;;;;;;;;0,6;;7,2;;;;;55;;0,3;;6,9;;;1,7;;;;;;;;
8277694;;;;;;;;;;;;;;;;;;;;;;;;;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8311704;;;;;;;;;;;;;;0,6;;;;1;;;;;;;;;;;;;;;;;;;;;;;;0,9;;;;;;;;;;;;;;;;;;;6,1;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8542204;;;;;1,7;0,1;;;;;;;4,3;2,1;21;12,1;;;;;;;;;;7;1;;;;;;;;;129;;;;;;;;;;;;;;;;;;13,1;;;;;;;;0,5;;;;;;;;;;16;;;;;;;17,3;;;;;0,9;;;0,8;1,7;;;1;;;;;;0,9;;
8567888;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8585433;;;;;193;;;;;;;13,1;88;;;;;;;;;4,9;0,3;142;;26;80;0,2;;130;0,4;;4,8;;4,8;33;148;;1,3;;;54;;;;;;;;;;;;;;;;;;44;12,7;13,7;;;;;;;31;113;;;;;;;;;164;;;4,5;;34;0,4;1672;623;1;;;839;;;;;;;;7,5
8763960;;;;;;;;;;;;;;;;;;;;;;;;6,3;613;1,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8776918;;;;;;;;;;;18,5;;390;1,8;125;405;85;6,6;562;;46;;;;;11,5;294;;;;29;;;;;;;;;;166;153;;;;;;;;;;;;;;;;;;;5,2;5,3;;;;;;;;;;14,5;;;;;;;;;;;;;;;;729;;;;;;;;;;;
8784496;;;;;;;;;;;;;;;;;;;;;;;;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;;;;;;;;;;;;;;13,8;
8795607;;;;;;;;;;1,4;;119;70;;;;;;;;;;;4,2;;;48;;;;6,9;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;;3,6;;;;;;;;;;;;31;;;;;;;;;;;;3;;;;;;;;;;;;;;;
8865447;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8949216;;;;;;;;;;;;;;;;;;;;;;;;11,1;10,8;;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;8,2;;;;;;;;;;;;;;;
9065641;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9128105;;;;;;;;;;0,5;14,6;;41;;;;;;;;;;;;;5,1;0,7;;;12,1;;;38;31;;0,5;;;0,8;;21;;1,9;;;;;;;;;;;8,6;;3,4;;2,1;57;;;;;;;;;;;;;7,2;;;;;;;;0,3;;;;206;;;;118;;;30;;;;;;0,8;15,2;16,9
9134079;;;;;;;;;;;;;;;;;;11,2;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9180659;6,2;;;;;;;;;;;;;;;40;1,5;;;;;;;;;72;90;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;0,2;;;;;;10,1;;;;;;;;132;57;;;11,1;;58;;;;321;;;;0,2;;;;;;;;;;;5,4;;;14;
9209946;;;;;;;;;;;;;;;;;;;;;;;;41;;;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9245216;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;;;5,8;;;;;;;;;;;;;;;;;;;;
9365873;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9544834;;;;;;;;;;;;;;;;;;;;;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9563573;;1,1;;;;;;;;;;;132;;;;;;;;;;;9,9;;9,2;0,9;;;;0,5;;3,4;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;10,3;;;;;;;19;;;;;;;;;;;;;;;102;;;;;;0,5;50;;;0,2;;;;;
9740704;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,6;;;;;;;;;;;;;;;
9759887;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9823354;;;;;;;;;;;15,6;;2,2;;;;;;;;;;;2,2;;;7,9;6,7;;;0,2;;;7,4;;;;193;;2,1;;1,4;22;;;;;;;;;;;;;24;0,1;;;;;2,7;86;;;;;;;0,9;13,1;16,9;1,2;;;;;21;153;;;;;12,6;;;;143;83;;;218;243;;;;;;65
9845449;;;;;;;;;;;;;;;;;;;;;;;;0,1;0,5;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;;;;;;;;;;;14,8;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;
9946133;;;;;;;;;;0,5;;;;;;;;;;;;;;;;573;1229;;;;;;;;;4,4;;;5,1;;;;;;;;;;;;;79;;;;;;;;;;2,5;;;;;;;;19,8;;12,7;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;
10064100;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10095386;;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10144504;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10162301;;;;;;;;;;;;;17,2;;;;;;;;;4,4;;;;34;37;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;;;9,6;;;;;;;41;;;;;;;;;;;;;;;;;;;27;35
10181060;;;0,5;;;;;;;;;;;;;;;;;;;;;;;0,2;0,2;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;
10218563;;;;;;;;;;;;;;;;;;22;;;;;;;;;10,7;;;;;8,8;;;;19,3;222;;;;;;;;;;;;;;;;;;;;;1,2;;;;;;;;;;;568;180;;;;;50;;;;;;303;;;;;;;;;;0,3;;;;;;183;;
10253354;;;;;;9,7;22;;;;29;;;9,2;65;6,9;20;1,7;128;;;;;;;;;2,3;;;;;;83;;;;272;5;;62;7,9;0,1;;;;;;;;;;12,8;49;;;;;44;;;33;;40;;41;;;;;;;9,1;;;;;;;;;;;;;;;;7,2;;;235;109;;;;;;36
10302000;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;;;;;;;;;;;;;;;;;;17,7;;;;433;1096;2503;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;104;;;;;;;;;31;;;;;;;;;;;112
10385370;;;;;;;;;;;;;;;;;;9;41;;;;;;;;59;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,2;;;;;;;;;;;;;;;
10450544;;;;;;;;;;31;10,3;;;;;;;;;;;33;;;;;;;;;;;;1,5;;;;;;;;;18,5;;;;;;;;;;84;;8,3;0,4;;;;;817;61;;;;;;;;5,6;;11,4;;;5,5;;;;;;;;;1,5;;;;;;;;;;;;;;;
10478285;;;;;;;;;;;;;;;;;;;;;;;;;;;188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10515535;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10595342;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10599862;0,3;;;;167;0,5;71;;72;15,3;19,4;2,7;1;8;32;5,2;;11,7;14,6;;;1,7;;;;23;20;672;205;169;;99;;56;;96;11,3;187;;104;99;28;78;;;;;;322;581;144;;;3,1;57;0,9;;;;;15,5;17,9;75;79;64;880;43;;785;;3,6;;19,8;;;;11,7;;76;;;;;2,5;0,3;;;211;202;;;1061;261;;;;;23;208
10608804;;;;;;;;;;;;;;;;;;;;;;;;1,8;;;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10714039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10809782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10856494;;;;;;;;;;;;;;;;;;;;;;;;;;722;1423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,3;;;;;;;;;;;;;;;470;;;;;;;;;;;;;;;;;;;;;;;;;;;
10868970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10869571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10934310;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10964000;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11024186;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;;;;;;;;;;;;;;;83;37;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;;;;277;;;;;;;;;;;
11149819;;;;;;;;;;6,2;24;;271;;;;;;;;;6,5;;14,2;;533;124;;;1,4;16,2;;;1,2;;1,5;;;;;;;2,4;;;;;;;;;;6;27;;;;7,8;;;52;31;;;;;;;;;;6,6;;;9,5;;;;;;;;;585;0,2;;;;;;51;;;;;;;;
11151885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11161178;;;;;0,5;2,2;150;;;23;;;;;;;1;13,8;32;;;;;;;0,4;0,2;;;21;;184;311;;;256;;4,7;;;123;;;;;;;;;;;;;;;;;22;0,9;;;4,9;;;;;;;1,4;;;9,6;;;;;;;14;;;;;;;;;918;2,8;;;0,6;0,2;;;0,3;46;2,9;
11207650;;;;;;;;;;;;7,9;;;;;;0,2;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;;;;;8,7;3,6;;;;;;;;;;289;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;
11300897;;;;;;;;;;;;;;;;;;35;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,2;;;;;;;;;;;;;4,7;;1,6;;;;;;;;;;;;;2,2;;;;78;;;;;;;;;2,4;;9,4
11373749;;;;;;;;;;;;;;7,5;21;;;11;7,7;;;19,9;;;;5,5;0,4;;;0,9;;;;;;2,2;2,3;;;;;0,3;;;;;;;;;;1,3;;61;;18,1;;12,7;;;44;270;;;;;;;;;;22;;;348;;44;;;;;;;762;84;;;220;;;4,2;;;;0,8;;;;
11403772;;;;;;2,2;;;;;10,4;14,1;25;;;;;;;;;15,8;;;;94;28;;;;;;;;;2443;;0,9;1,3;;;115;11,4;;;;;;;;;15,8;;;;1,5;;;;3,4;4,2;1,9;;;;;4,2;;10,1;9,9;1,1;13,3;5,4;1,3;18,5;30;16;;25;;;35;;744;3;2,2;;39;;;16,1;;;;1,5;;14,8;4,2;59
11414203;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11713535;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11718802;;;;;;;;;;;;;;;;;;;;;;;;;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11731710;;;;;;;;;;;;;295;;;;;;;;;;;;;;6,5;;;;;;;51;;1243;174;;;;;;41;;;;;;;;;;;;;16,1;;;;;;268;;;;0,3;;;;1029;;;;;;;;;;;;;;;;;;4,3;;;;;;;;;17,8;;
11794760;;;0,7;;;;;;;;;0,9;;0,4;8,9;;;;;;;;;;0,2;1,1;;;;;;;1,9;;;839;3,3;;;;;;3,4;;;;;;;;;;;;;;;32;48;;4,5;6,3;;;;;;;;;;3,6;;;;;0,9;;7,5;0,1;;1,5;;442;156;;;0,3;;;13,7;;;;;;;1,9;6,3
11807754;;;;;;;;;;38;;0,6;317;;;;;;;;;;;;;;11,5;;;;;;;;;63;;;;;;;;;;;;;;;;;4,6;;;0,6;0,2;;;;202;576;;;;;;;;;;29;;;;;;;3,7;;;;;0,6;;;;;;;;;;;;;;;
11813637;;;;;;;;;;;21;;9,2;;;;;;;;;;;;;1;6,2;;;;0,5;;;;;2341;;;;;;;25;;;;;;;;;;22;;;2,5;;;;;5,7;2,7;;;;;;;;;;8,5;;;;;;1,9;29;;;;;15,3;;;;67;108;;;;;;;;;;
11940338;;;;;10,5;;0,9;;;;;;;;;;;;;;;;;;;44;0,4;;;2,1;;22;;;52;;;;;;39;;;;;;;;;;;0,2;;46;35;7,5;;;;;0,9;0,3;;;;;;;;;1,5;;;;;;0,5;;;;;;;;30;;;;45;;;;;;;;;;
11952990;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;12,2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;;;;;;34;;;;;289;;254;;;;;;;;;;;;101;148
11970504;;;;;1,6;1,7;;;;61;;17;;6;16,8;;;12,4;20;;;12,4;;;;1,3;8,6;;;;;;;6,7;;11,9;;66;;;;;;;;;;;;;;;0,1;;;;;;53;;;7;;;;62;19,1;;;15,3;;;;15,5;52;;;;5,2;14;;;;32;4,2;;;68;;;;37;12,6;;;;;;
11973378;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11978743;;;;;;;;;;;2,2;;0,4;25;;4,4;;6,3;;27;0,2;;;;;17,9;23;;;;;;;;;;;;;;;;2;;;;;;;;;;;0,8;;;;;;;;0,6;;;;;;;;0,2;;;;;;;;;0,2;;;;;;;;;0,3;;;;;;;;;;;
12130111;;;;;;;;;;;23;;;;;;;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;;;;41;;;;;;;;;;;;;;;;90;;;;;;;;;;;;1,4;;;;;;;;;;;;;;;
12144171;;;;;;;;;;;;54;17,6;;;;;;;;;8,3;;0,3;;40;1,9;;;;;4;;;8,4;0,7;;;21;;4,4;14;;;;;;;;;;;;29;;;;;12,7;;1,7;;;;;;;;4,7;;80;18;;;;4,3;1;;11,4;;;;;316;1,4;;;159;;;27;;;;;;;;
12169570;;;;;;;;;;;;;;;;;;;;;;;;;;;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12195913;;;;;;;;;;;;;;25;;;;;;;;;;;;;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;;;;;;2710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12259303;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;127;;;;;;;;;;;0,9;;;;8;0,2;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;
12312878;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12423315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12529679;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12563913;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12583476;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12610800;;;1,8;;122;70;325;;;8,4;;;12,5;;;;;;;;;;;;;0,2;;17,2;22;117;0,6;171;;0,5;;;1,5;1,4;;;;0,4;8,7;;;;;;;;;;1,6;;;2,6;;0,7;;2;;2,3;8,6;;;28;2,5;;329;69;190;8,2;2,5;;2,7;;;9,9;178;;;;;9,7;51;;;61;23;;1,1;29;125;;0,3;;;;3,9
12660489;;;;;;;;;;;;;;;;;;;;;;;;91;;11,8;;;;;;;;;;5970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12673872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12760368;;;;;;;;;;1,4;;5,8;7,5;;;;;;;;;;;;;;;;;;;;;;;0,1;;0,3;;;;;0,8;;;;;;;;;;;0,6;;19,3;;;;;7,8;1,4;;;;;;;;;;;;;;;;;;;;;;;66;;;116;;;471;6,5;;;;31;;;
12774878;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12858799;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12860805;;;;;;;;;;;;;;93;238;;539;31;118;105;324;;;;;;14,5;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;2;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12897088;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12985315;;;;;;;;;;;;;;;;;;;;;;;;;;;226;;;;;;;;;0,2;;;;;;7,5;;;;;;;;;;;;;;0,4;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13190476;;;0,3;;;;;11,7;;;11,2;;63;;;;;;;;;;;;;;0,9;;;;;;;28;;527;1,3;;;;629;143;;;;;;;;;;;;;;;;;;;5,2;0,7;;;;;;;;;;17,4;;;;;;;;;;;;0,4;;;;153;58;;;11,2;83;;;;;;46
13227098;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13227113;;;;;;;;;;;;;;;;;;;;;;;;17,9;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13336286;;;;;;;;;;;;;;;;;;;;;;;;;;;11,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13542867;;;;;;;;;;;;;;;;;;;;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13556140;;;;;;;;;;;;;;;;;;;;;;;;;;37;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13565651;;;;;;5,5;;;;;5,1;;114;1,8;35;24;;2,2;201;;28;;;;;1,2;13,6;;;1;;;2,4;;;;;;;;29;101;10,4;;;;;;;;;11,4;0,6;16,4;;4,9;;4,4;;2,7;7,2;11,5;;;;;;;;;;;;;34;;;;;;9;11,9;;31;;9,9;1;207;;;24;;;;;;58;0,3;
